station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
BDL,1/1/2019 0:00,-72.6825,41.9381,M,M,M,110,5,0.01,30.17,M,7,M,BKN,OVC,M,M,2300,5000,M,M,#NAME?,M,M,M,M,M,M,M,KBDL 010000Z AUTO 11005KT 7SM -RA BKN023 OVC050 03/02 A3017 RMK P0000 T00300020 MADISHF
BDL,1/1/2019 0:05,-72.6825,41.9381,M,M,M,120,4,0.01,30.16,M,6,M,BKN,BKN,OVC,M,2300,3500,5500,M,#NAME?,M,M,M,M,M,M,M,KBDL 010005Z AUTO 12004KT 6SM -RA BR BKN023 BKN035 OVC055 03/02 A3015 RMK P0000 T00300020 MADISHF
BDL,1/1/2019 0:10,-72.6825,41.9381,M,M,M,110,4,0.02,30.16,M,5,M,BKN,BKN,OVC,M,2300,3800,5000,M,RA BR,M,M,M,M,M,M,M,KBDL 010010Z AUTO 11004KT 5SM RA BR BKN023 BKN038 OVC050 03/02 A3015 RMK P0001 T00300020 MADISHF
BDL,1/1/2019 0:15,-72.6825,41.9381,M,M,M,110,3,0.03,30.16,M,5,M,BKN,OVC,M,M,2100,5000,M,M,RA BR,M,M,M,M,M,M,M,KBDL 010015Z AUTO 11003KT 5SM RA BR BKN021 OVC050 03/02 A3015 RMK P0002 T00300020 MADISHF
BDL,1/1/2019 0:20,-72.6825,41.9381,M,M,M,100,3,0.04,30.15,M,5,M,BKN,BKN,OVC,M,1800,2300,5500,M,#NAME?,M,M,M,M,M,M,M,KBDL 010020Z AUTO 10003KT 5SM -RA BR BKN018 BKN023 OVC055 03/02 A3014 RMK P0003 T00300020 MADISHF
BDL,1/1/2019 0:25,-72.6825,41.9381,M,M,M,0,0,0.05,30.15,M,5,M,BKN,BKN,OVC,M,1800,2300,5500,M,#NAME?,M,M,M,M,M,M,M,KBDL 010025Z AUTO 00000KT 5SM -RA BR BKN018 BKN023 OVC055 03/02 A3014 RMK P0005 T00300020 MADISHF
BDL,1/1/2019 0:30,-72.6825,41.9381,M,M,M,170,3,0.05,30.17,M,5,M,BKN,OVC,M,M,1800,2300,M,M,#NAME?,M,M,M,M,M,M,M,KBDL 010030Z AUTO 17003KT 5SM -RA BR BKN018 OVC023 03/02 A3017 RMK P0005 T00300020 MADISHF
BDL,1/1/2019 0:35,-72.6825,41.9381,M,M,M,200,4,0.06,30.18,M,6,M,OVC,M,M,M,1600,M,M,M,#NAME?,M,M,M,M,M,M,M,KBDL 010035Z AUTO 20004KT 6SM -RA BR OVC016 03/02 A3018 RMK P0005 T00300020 MADISHF
BDL,1/1/2019 0:40,-72.6825,41.9381,M,M,M,190,5,0.06,30.17,M,5,M,OVC,M,M,M,1600,M,M,M,#NAME?,M,M,M,M,M,M,M,KBDL 010040Z AUTO 19005KT 5SM -RA BR OVC016 03/02 A3017 RMK P0005 T00300020 MADISHF
BDL,1/1/2019 0:45,-72.6825,41.9381,M,M,M,180,5,0.07,30.16,M,4,M,OVC,M,M,M,1600,M,M,M,RA BR,M,M,M,M,M,M,M,KBDL 010045Z AUTO 18005KT 4SM RA BR OVC016 03/02 A3015 RMK P0007 T00300020 MADISHF
BDL,1/1/2019 0:50,-72.6825,41.9381,M,M,M,150,5,0.08,30.15,M,5,M,BKN,OVC,M,M,1600,2400,M,M,RA BR,M,M,M,M,M,M,M,KBDL 010050Z AUTO 15005KT 5SM RA BR BKN016 OVC024 03/02 A3014 RMK P0007 T00300020 MADISHF
BDL,1/1/2019 0:51,-72.6825,41.9381,37,36,96.13,150,5,0.08,30.15,1021,5,M,BKN,OVC,M,M,1600,2400,M,M,RA BR,M,M,M,M,M,M,32.33,KBDL 010051Z 15005KT 5SM RA BR BKN016 OVC024 03/02 A3015 RMK AO2 PRESFR SLP210 P0008 T00280022
