Program,Solarize CT, Date of Application,Completed,Electric Utility,County,Municipality, Zip Code,Contractor,System Owner,System Financing,System Size (kW STC),Total System Costs,Total Incentive  Approved, Estimated Annual Production  (kWh) 
EPBB,No,3/5/2012,4/10/2012,Eversource Energy,Hartford,Avon,06001,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,9.50,"$44,650.00","$14,982.00"," 10,819 "
EPBB,No,3/5/2012,11/19/2012,Eversource Energy,Middlesex,Old Saybrook,06475,Waldo Renewable Electric,Does Not Apply,Other Homeowner Purchase,7.20,"$40,888.00","$13,069.00"," 8,199 "
EPBB,No,3/5/2012,5/2/2012,Eversource Energy,Middlesex,Durham,06422,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,6.00,"$33,300.00","$10,855.00"," 6,833 "
EPBB,No,3/5/2012,12/4/2012,Eversource Energy,New London,Stonington,06355,Waldo Renewable Electric,Does Not Apply,Other Homeowner Purchase,5.76,"$32,251.88","$12,314.00"," 6,559 "
EPBB,No,3/5/2012,5/2/2012,Eversource Energy,New London,Lebanon,06249,Sunlight Solar Energy,Does Not Apply,Other Homeowner Purchase,6.27,"$30,723.00","$11,080.00"," 7,140 "
EPBB,No,3/5/2012,5/2/2012,Eversource Energy,Windham,Putnam,06260,Shippee Solar and Construction,Does Not Apply,Other Homeowner Purchase,3.29,"$7,790.00","$6,817.00"," 3,747 "
EPBB,No,3/5/2012,8/8/2012,Eversource Energy,Tolland,Andover,06232,RGS Energy,Does Not Apply,Other Homeowner Purchase,7.50,"$31,982.00","$13,847.00"," 8,541 "
EPBB,No,3/6/2012,11/19/2012,Eversource Energy,New London,Waterford,06385,Waldo Renewable Electric,Does Not Apply,Other Homeowner Purchase,5.76,"$32,251.88","$12,314.00"," 6,559 "
EPBB,No,3/6/2012,6/5/2012,Eversource Energy,Middlesex,East Haddam,06423,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,6.75,"$35,775.00","$11,919.00"," 7,687 "
EPBB,No,3/6/2012,8/8/2012,Eversource Energy,Hartford,Enfield,06082,RGS Energy,Does Not Apply,Other Homeowner Purchase,9.50,"$42,275.00","$16,069.00"," 10,819 "
EPBB,No,3/6/2012,8/9/2012,Eversource Energy,Hartford,Manchester,06040,RGS Energy,Does Not Apply,Other Homeowner Purchase,5.40,"$35,383.00","$10,722.00"," 6,150 "
