,station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,date,hour
0,BDL,2019-01-01 00:00:00,-72.6825,41.9381,,,,110.0,5.0,0.01,30.17,,7.0,,BKN,OVC,,,2300,5000,,,#NAME?,,,,,,,,KBDL 010000Z AUTO 11005KT 7SM -RA BKN023 OVC050 03/02 A3017 RMK P0000 T00300020 MADISHF,2019-01-01,0
1,BDL,2019-01-01 00:05:00,-72.6825,41.9381,,,,120.0,4.0,0.01,30.16,,6.0,,BKN,BKN,OVC,,2300,3500,5500,,#NAME?,,,,,,,,KBDL 010005Z AUTO 12004KT 6SM -RA BR BKN023 BKN035 OVC055 03/02 A3015 RMK P0000 T00300020 MADISHF,2019-01-01,0
2,BDL,2019-01-01 00:10:00,-72.6825,41.9381,,,,110.0,4.0,0.02,30.16,,5.0,,BKN,BKN,OVC,,2300,3800,5000,,RA BR,,,,,,,,KBDL 010010Z AUTO 11004KT 5SM RA BR BKN023 BKN038 OVC050 03/02 A3015 RMK P0001 T00300020 MADISHF,2019-01-01,0
3,BDL,2019-01-01 00:15:00,-72.6825,41.9381,,,,110.0,3.0,0.03,30.16,,5.0,,BKN,OVC,,,2100,5000,,,RA BR,,,,,,,,KBDL 010015Z AUTO 11003KT 5SM RA BR BKN021 OVC050 03/02 A3015 RMK P0002 T00300020 MADISHF,2019-01-01,0
4,BDL,2019-01-01 00:20:00,-72.6825,41.9381,,,,100.0,3.0,0.04,30.15,,5.0,,BKN,BKN,OVC,,1800,2300,5500,,#NAME?,,,,,,,,KBDL 010020Z AUTO 10003KT 5SM -RA BR BKN018 BKN023 OVC055 03/02 A3014 RMK P0003 T00300020 MADISHF,2019-01-01,0
5,BDL,2019-01-01 00:25:00,-72.6825,41.9381,,,,0.0,0.0,0.05,30.15,,5.0,,BKN,BKN,OVC,,1800,2300,5500,,#NAME?,,,,,,,,KBDL 010025Z AUTO 00000KT 5SM -RA BR BKN018 BKN023 OVC055 03/02 A3014 RMK P0005 T00300020 MADISHF,2019-01-01,0
6,BDL,2019-01-01 00:30:00,-72.6825,41.9381,,,,170.0,3.0,0.05,30.17,,5.0,,BKN,OVC,,,1800,2300,,,#NAME?,,,,,,,,KBDL 010030Z AUTO 17003KT 5SM -RA BR BKN018 OVC023 03/02 A3017 RMK P0005 T00300020 MADISHF,2019-01-01,0
7,BDL,2019-01-01 00:35:00,-72.6825,41.9381,,,,200.0,4.0,0.06,30.18,,6.0,,OVC,,,,1600,,,,#NAME?,,,,,,,,KBDL 010035Z AUTO 20004KT 6SM -RA BR OVC016 03/02 A3018 RMK P0005 T00300020 MADISHF,2019-01-01,0
8,BDL,2019-01-01 00:40:00,-72.6825,41.9381,,,,190.0,5.0,0.06,30.17,,5.0,,OVC,,,,1600,,,,#NAME?,,,,,,,,KBDL 010040Z AUTO 19005KT 5SM -RA BR OVC016 03/02 A3017 RMK P0005 T00300020 MADISHF,2019-01-01,0
9,BDL,2019-01-01 00:45:00,-72.6825,41.9381,,,,180.0,5.0,0.07,30.16,,4.0,,OVC,,,,1600,,,,RA BR,,,,,,,,KBDL 010045Z AUTO 18005KT 4SM RA BR OVC016 03/02 A3015 RMK P0007 T00300020 MADISHF,2019-01-01,0
10,BDL,2019-01-01 00:50:00,-72.6825,41.9381,,,,150.0,5.0,0.08,30.15,,5.0,,BKN,OVC,,,1600,2400,,,RA BR,,,,,,,,KBDL 010050Z AUTO 15005KT 5SM RA BR BKN016 OVC024 03/02 A3014 RMK P0007 T00300020 MADISHF,2019-01-01,0
11,BDL,2019-01-01 00:51:00,-72.6825,41.9381,37.0,36.0,96.13,150.0,5.0,0.08,30.15,1021.0,5.0,,BKN,OVC,,,1600,2400,,,RA BR,,,,,,,32.33,KBDL 010051Z 15005KT 5SM RA BR BKN016 OVC024 03/02 A3015 RMK AO2 PRESFR SLP210 P0008 T00280022,2019-01-01,0
12,BDL,2019-01-01 00:55:00,-72.6825,41.9381,37.0,36.0,96.13,140.0,4.0,0.01,30.14,1020.7692307692307,5.0,,OVC,,,,1500,,,,RA BR,,,,,,,,KBDL 010055Z AUTO 14004KT 5SM RA BR OVC015 03/02 A3013 RMK P0000 T00300020 MADISHF,2019-01-01,0
13,BDL,2019-01-01 01:00:00,-72.6825,41.9381,37.0,36.0,96.13,130.0,5.0,0.02,30.13,1020.5384615384615,4.0,,OVC,,,,1500,,,,RA BR,,,,,,,,KBDL 010100Z AUTO 13005KT 4SM RA BR OVC015 03/02 A3012 RMK P0001 T00300020 MADISHF,2019-01-01,1
14,BDL,2019-01-01 01:05:00,-72.6825,41.9381,37.0,36.0,96.13,130.0,5.0,0.02,30.13,1020.3076923076923,5.0,,OVC,,,,1500,,,,#NAME?,,,,,,,,KBDL 010105Z AUTO 13005KT 5SM -RA BR OVC015 03/02 A3012 RMK P0001 T00300020 MADISHF,2019-01-01,1
15,BDL,2019-01-01 01:10:00,-72.6825,41.9381,37.0,36.0,96.13,120.0,5.0,0.03,30.13,1020.0769230769231,5.0,,OVC,,,,1500,,,,#NAME?,,,,,,,,KBDL 010110Z AUTO 12005KT 5SM -RA BR OVC015 03/02 A3012 RMK P0002 T00300020 MADISHF,2019-01-01,1
16,BDL,2019-01-01 01:15:00,-72.6825,41.9381,37.0,36.0,96.13,120.0,5.0,0.04,30.12,1019.8461538461538,5.0,,OVC,,,,1500,,,,RA BR,,,,,,,,KBDL 010115Z AUTO 12005KT 5SM RA BR OVC015 03/02 A3012 RMK P0003 T00300020 MADISHF,2019-01-01,1
17,BDL,2019-01-01 01:20:00,-72.6825,41.9381,37.0,36.0,96.13,120.0,6.0,0.06,30.1,1019.6153846153846,5.0,,OVC,,,,1500,,,,RA BR,,,,,,,,KBDL 010120Z AUTO 12006KT 5SM RA BR OVC015 03/02 A3010 RMK P0005 T00300020 MADISHF,2019-01-01,1
18,BDL,2019-01-01 01:25:00,-72.6825,41.9381,37.0,36.0,96.13,120.0,6.0,0.07,30.1,1019.3846153846154,4.0,,OVC,,,,1500,,,,RA BR,,,,,,,,KBDL 010125Z AUTO 12006KT 4SM RA BR OVC015 03/02 A3010 RMK P0007 T00300020 MADISHF,2019-01-01,1
19,BDL,2019-01-01 01:30:00,-72.6825,41.9381,37.0,36.0,96.13,120.0,5.0,0.08,30.09,1019.1538461538462,5.0,,OVC,,,,1500,,,,RA BR,,,,,,,,KBDL 010130Z AUTO 12005KT 5SM RA BR OVC015 03/02 A3009 RMK P0007 T00300020 MADISHF,2019-01-01,1
20,BDL,2019-01-01 01:35:00,-72.6825,41.9381,37.0,36.0,96.13,120.0,4.0,0.08,30.09,1018.9230769230769,5.0,,BKN,OVC,,,1200,1500,,,#NAME?,,,,,,,,KBDL 010135Z AUTO 12004KT 5SM -RA BR BKN012 OVC015 03/02 A3009 RMK P0007 T00300020 MADISHF,2019-01-01,1
21,BDL,2019-01-01 01:40:00,-72.6825,41.9381,37.0,36.0,96.13,130.0,5.0,0.09,30.08,1018.6923076923077,5.0,,BKN,OVC,,,1200,1500,,,RA BR,,,,,,,,KBDL 010140Z AUTO 13005KT 5SM RA BR BKN012 OVC015 03/02 A3007 RMK P0009 T00300020 MADISHF,2019-01-01,1
22,BDL,2019-01-01 01:45:00,-72.6825,41.9381,37.0,36.0,96.13,120.0,6.0,0.1,30.07,1018.4615384615385,5.0,,OVC,,,,1200,,,,#NAME?,,,,,,,,KBDL 010145Z AUTO 12006KT 5SM -RA BR OVC012 03/02 A3006 RMK P0010 T00300020 MADISHF,2019-01-01,1
23,BDL,2019-01-01 01:50:00,-72.6825,41.9381,37.0,36.0,96.13,120.0,6.0,0.11,30.06,1018.2307692307693,5.0,,BKN,OVC,,,1200,1500,,,#NAME?,,,,,,,,KBDL 010150Z AUTO 12006KT 5SM -RA BR BKN012 OVC015 03/02 A3005 RMK P0010 T00300020 MADISHF,2019-01-01,1
24,BDL,2019-01-01 01:51:00,-72.6825,41.9381,37.0,36.0,96.13,120.0,6.0,0.11,30.06,1018.0,5.0,,BKN,OVC,,,1200,1500,,,#NAME?,,,,,,,31.55,KBDL 010151Z 12006KT 5SM -RA BR BKN012 OVC015 03/02 A3006 RMK AO2 PRESFR SLP180 P0011 T00280022,2019-01-01,1
